REPORT_SPECIES_NAME,REPORT_SPECIES_DISPLAYNAME,REPORT_SPECIES_ID,STRUCTURE_DEF_ID,LINE_ID,FIELD_ID,FIELD_NAME,FIELD_TYPE,START_COLUMN,END_COLUMN,FIELD_WIDTH,IS_SIGNIFICANT,IS_INDEXED,LINE_NAME,LINE_TEMPLATE
IG2299P2,IG2299P2:OA Dr Reversl Unsucc RA Cr-Normal Giro2nd,47302,9627,5,9,OA_NAME,Text,62,82,21,1,1,RptDetailLine001,AA AAAAAAA AA : 999999999999                        AA AAAA : AAA AAAA AAA9          AAAAAA : 99999999   AA AAAAAAA : A             *
IG2299P2,IG2299P2:OA Dr Reversl Unsucc RA Cr-Normal Giro2nd,47302,9627,8,2,ra_account_no,Text,3,32,30,1,1,RptDetailLine003,9  999999999999                       AAAAA9                AAAAAAAAAA AAAAAAAAAAA                AAAA                        9.99  *
IG2299P2,IG2299P2:OA Dr Reversl Unsucc RA Cr-Normal Giro2nd,47302,9627,8,3,ra_name,Text,38,57,20,1,1,RptDetailLine003,9  999999999999                       AAAAA9                AAAAAAAAAA AAAAAAAAAAA                AAAA                        9.99  *
IG2299P3,IG2299P3:OA Dr Reversl Unsucc RA Cr-interbk Giro,47305,9623,5,5,OA_Acct_no,Text,16,45,30,1,1,RptDetailLine001,AA AAAAAAA AA : 999999999999                        AA AAAA : AAA AAAA AAA9          AAAAAA : 99999999   AA AAAAAAA : A             *
IG2299P3,IG2299P3:OA Dr Reversl Unsucc RA Cr-interbk Giro,47305,9623,5,9,OA_NAME,Text,62,82,21,1,1,RptDetailLine001,AA AAAAAAA AA : 999999999999                        AA AAAA : AAA AAAA AAA9          AAAAAA : 99999999   AA AAAAAAA : A             *
IG2299P3,IG2299P3:OA Dr Reversl Unsucc RA Cr-interbk Giro,47305,9623,8,2,ra_account_no,Text,3,32,30,1,1,RptDetailLine003,9  999999999999                       AAAAA9                AAAAAAAAAA AAAAAAAAAAA                AAAA                        9.99  *
IG2299P3,IG2299P3:OA Dr Reversl Unsucc RA Cr-interbk Giro,47305,9623,8,3,ra_name,Text,38,57,20,1,1,RptDetailLine003,9  999999999999                       AAAAA9                AAAAAAAAAA AAAAAAAAAAA                AAAA                        9.99  *
IG2330PE,IG2330PE,19658,3501,7,4,ACCOUNT_NUMBER,Text,17,36,20,1,1,RptDetailsLine002,AAAAAAA AAAAAA : 9999-999-999999999                                                                                                                                                                   *
IG2330PM,IG2330PM,19750,3500,7,4,ACCOUNT_NUMBER,Text,17,36,20,1,1,RptDetailsLine002,AAAAAAA AAAAAA : 9999-999-999999999                                                                                                                                                                   *
IG2331P,IG2331P,19657,3074,7,4,ACCOUNT_NUMBER,Text,17,47,31,1,1,RptTitleLine002,AAAAAAA AAAAAA : AAAAAAAAAAA-AAAAAAAAAAAAAAAAAAA                                                                                                                                                      *
IG2351P,IG2351P:DDA Purged,41860,4264,5,5,ORIGINATING_ACCOUNT_NO,Text,27,59,33,1,1,RptDetailLine001,AAAAAAAAAAA AAAAAAA AA.  : AAAAAAA9AAA-99999999                                                                                                                                                      *
